last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent,isolated_power,xba,xslg,woba,xwoba,xobp,xiso,
Cease, Dylan,656302,2021,.223,.364,.305,.141,.210,.364,.295,.295,.297,.154,
Coonrod, Sam,656322,2021,.247,.373,.319,.126,.225,.359,.303,.291,.299,.135,
Davidson, Tucker,656353,2021,.205,.384,.277,.179,.277,.527,.287,.371,.346,.250,
Davis, Austin,656354,2021,.235,.431,.316,.196,.248,.399,.314,.322,.333,.151,
Feyereisen, J.P.,656420,2021,.183,.320,.295,.137,.204,.363,.278,.304,.317,.159,
Flaherty, Jack,656427,2021,.199,.364,.276,.165,.245,.457,.280,.337,.322,.212,
Gilbert, Tyler,656457,2021,.200,.343,.268,.143,.228,.400,.267,.306,.299,.172,
Gilbreath, Lucas,656458,2021,.208,.327,.308,.119,.197,.312,.285,.284,.303,.116,
Ginkel, Kevin,656464,2021,.268,.545,.357,.277,.249,.462,.383,.350,.343,.213,
Hentges, Sam,656529,2021,.318,.491,.384,.173,.271,.478,.377,.357,.345,.207,
Hoffman, Jeff,656546,2021,.248,.436,.358,.188,.236,.394,.345,.328,.349,.158,
Holloway, Jordan,656548,2021,.177,.315,.310,.138,.202,.358,.284,.310,.333,.156,
Houck, Tanner,656557,2021,.223,.313,.295,.090,.213,.337,.271,.277,.287,.124,
Jackson, Andre,656578,2021,.238,.381,.320,.143,.209,.364,.316,.298,.308,.155,
Keller, Mitch,656605,2021,.322,.477,.398,.155,.289,.452,.379,.359,.372,.164,
Klobosits, Gabe,656620,2021,.283,.348,.365,.065,.237,.348,.314,.296,.325,.111,
Kopech, Michael,656629,2021,.210,.374,.277,.164,.185,.332,.280,.261,.259,.146,
Lange, Alex,656638,2021,.259,.420,.346,.161,.273,.492,.335,.366,.358,.218,
Martin, Brett,656685,2021,.272,.374,.307,.102,.263,.368,.293,.290,.303,.105,
Martin, Corbin,656686,2021,.338,.662,.442,.324,.323,.646,.461,.454,.441,.323,
Megill, Trevor,656730,2021,.343,.619,.391,.276,.277,.484,.424,.348,.334,.207,
Megill, Tylor,656731,2021,.255,.467,.309,.212,.221,.413,.332,.303,.282,.192,
Montgomery, Jordan,656756,2021,.250,.380,.307,.130,.248,.404,.299,.310,.307,.156,
Nelson, Nick,656793,2021,.263,.421,.436,.158,.219,.367,.380,.360,.413,.148,
Newcomb, Sean,656794,2021,.235,.336,.380,.101,.224,.320,.327,.321,.375,.096,
Overton, Connor,656818,2021,.250,.411,.302,.161,.252,.412,.303,.313,.310,.160,
Peterson, David,656849,2021,.255,.454,.341,.199,.279,.479,.345,.367,.365,.200,
Rasmussen, Drew,656876,2021,.204,.307,.267,.103,.246,.367,.252,.295,.308,.121,
Reid-Foley, Sean,656887,2021,.265,.434,.337,.169,.246,.419,.326,.314,.320,.173,
Scott, Tanner,656945,2021,.234,.351,.363,.117,.230,.359,.321,.328,.363,.129,
Sheffield, Justus,656954,2021,.316,.515,.397,.199,.302,.531,.390,.396,.390,.228,
Solomon, Peter,656981,2021,.217,.283,.327,.066,.226,.306,.280,.298,.339,.080,
Steele, Justin,657006,2021,.233,.437,.331,.204,.227,.369,.332,.309,.327,.143,
Swanson, Erik,657024,2021,.212,.402,.271,.190,.208,.367,.285,.274,.268,.159,
Taylor, Josh,657031,2021,.246,.322,.340,.076,.249,.376,.295,.315,.342,.127,
Thompson, Ryan,657044,2021,.211,.366,.276,.155,.226,.411,.274,.299,.289,.185,
Toussaint, Touki,657053,2021,.234,.446,.329,.212,.271,.472,.334,.362,.365,.201,
Watkins, Spenser,657093,2021,.322,.596,.373,.274,.303,.558,.405,.391,.361,.255,
Webb, Jacob,657097,2021,.279,.441,.346,.162,.249,.402,.332,.306,.322,.153,
Jewell, Jake,657228,2021,.391,.761,.451,.370,.307,.487,.503,.376,.375,.180,
Merryweather, Julian,657240,2021,.265,.510,.327,.245,.244,.493,.353,.344,.312,.249,
Otto Jr., Glenn,657248,2021,.320,.490,.378,.170,.280,.453,.375,.347,.346,.172,
Webb, Logan,657277,2021,.234,.332,.289,.098,.230,.329,.274,.277,.288,.099,
Baumann, Mike,657508,2021,.302,.558,.400,.256,.345,.767,.407,.494,.437,.422,
Hill, Tim,657612,2021,.230,.387,.314,.157,.230,.382,.301,.303,.317,.152,
Ryan, Joe,657746,2021,.168,.347,.210,.179,.195,.395,.238,.270,.236,.200,
Garcia, Edgar,658305,2021,.302,.651,.389,.349,.275,.496,.432,.374,.366,.221,
Fernandez, Junior,658551,2021,.305,.451,.412,.146,.298,.426,.373,.364,.400,.128,
Lamet, Dinelson,659275,2021,.262,.415,.344,.153,.226,.379,.333,.308,.316,.154,
Ohtani, Shohei,660271,2021,.207,.351,.285,.144,.207,.345,.279,.282,.289,.138,
Yang, Hyeon-Jong,660365,2021,.296,.535,.369,.239,.298,.574,.383,.400,.372,.276,
Diaz, Yennsy,660546,2021,.255,.449,.339,.194,.243,.402,.340,.322,.336,.159,
Paredes, Enoli,660600,2021,.212,.273,.491,.061,.207,.328,.379,.392,.488,.121,
Ynoa, Huascar,660623,2021,.224,.418,.282,.194,.249,.429,.299,.317,.306,.180,
Suarez, Jose,660761,2021,.230,.382,.303,.152,.260,.397,.299,.322,.334,.137,
Graterol, Brusdar,660813,2021,.260,.389,.347,.129,.265,.361,.312,.309,.354,.096,
De Los Santos, Enyel,660853,2021,.291,.534,.376,.243,.242,.447,.384,.334,.341,.204,
Alcala, Jorge,660896,2021,.214,.381,.262,.167,.226,.404,.275,.293,.277,.178,
Lopez, Yoan,661255,2021,.333,.611,.393,.278,.307,.554,.409,.396,.379,.247,
Gutierrez, Vladimir,661269,2021,.263,.469,.333,.206,.252,.421,.345,.327,.327,.169,
Clase, Emmanuel,661403,2021,.195,.240,.240,.045,.205,.270,.212,.230,.251,.064,
Gil, Luis,661563,2021,.183,.303,.310,.120,.199,.352,.282,.305,.324,.153,
Burrows, Beau,663366,2021,.364,.864,.448,.500,.349,.795,.502,.481,.438,.446,
Waddell, Brandon,663399,2021,.333,.619,.451,.286,.333,.610,.450,.450,.453,.277,
Thornton, Trent,663423,2021,.278,.536,.343,.258,.259,.465,.371,.348,.331,.206,
Rainey, Tanner,663432,2021,.238,.459,.377,.221,.207,.426,.361,.341,.353,.219,
Bubic, Kris,663460,2021,.248,.444,.336,.196,.256,.456,.337,.349,.344,.201,
Allard, Kolby,663465,2021,.258,.474,.305,.216,.267,.483,.331,.344,.315,.217,
McKenzie, Triston,663474,2021,.194,.383,.293,.189,.230,.412,.296,.322,.324,.182,
Allen, Logan,663531,2021,.291,.518,.356,.227,.294,.526,.371,.380,.361,.232,
Mize, Casey,663554,2021,.234,.418,.297,.184,.254,.463,.308,.339,.319,.208,
McClanahan, Shane,663556,2021,.252,.389,.308,.137,.263,.437,.304,.328,.319,.174,
Falter, Bailey,663559,2021,.262,.423,.302,.161,.247,.380,.311,.292,.289,.133,
Santillan, Tony,663574,2021,.217,.401,.326,.184,.206,.357,.318,.308,.324,.150,
Neidert, Nick,663734,2021,.246,.405,.376,.159,.264,.440,.345,.368,.394,.176,
Lynch, Daniel,663738,2021,.295,.465,.370,.170,.287,.491,.360,.376,.369,.204,
Knehr, Reiss,663753,2021,.221,.365,.349,.144,.262,.463,.315,.370,.386,.201,
Woodford, Jake,663765,2021,.261,.403,.338,.142,.266,.405,.322,.332,.346,.139,
Evans, Demarcus,663770,2021,.238,.416,.342,.178,.207,.325,.333,.291,.319,.118,
Sandoval, Patrick,663776,2021,.215,.349,.300,.134,.219,.342,.288,.291,.305,.123,
Kowar, Jackson,663804,2021,.336,.586,.422,.250,.300,.521,.422,.397,.399,.221,
Pearson, Nate,663878,2021,.237,.390,.366,.153,.189,.312,.332,.289,.326,.123,
Singer, Brady,663903,2021,.281,.414,.358,.133,.258,.398,.338,.327,.339,.140,
Paddack, Chris,663978,2021,.269,.445,.301,.176,.274,.460,.319,.332,.312,.186,
Stephan, Trevor,663986,2021,.235,.470,.326,.235,.244,.472,.340,.349,.336,.229,
Lovelady, Richard,663992,2021,.211,.342,.274,.131,.191,.299,.265,.259,.264,.108,
Lakins Sr., Travis,664042,2021,.221,.356,.333,.135,.245,.432,.308,.344,.353,.187,
Eshelman, Thomas,664045,2021,.298,.535,.357,.237,.280,.462,.377,.351,.343,.182,
Stashak, Cody,664054,2021,.258,.419,.360,.161,.218,.397,.339,.333,.336,.178,
