last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent,isolated_power,xba,xslg,woba,xwoba,xobp,xiso,
Price, David,456034,2021,.272,.428,.334,.156,.258,.384,.330,.313,.327,.127,
Cueto, Johnny,456501,2021,.285,.465,.329,.180,.278,.452,.342,.339,.329,.174,
Happ, J.A.,457918,2021,.288,.511,.340,.223,.275,.503,.361,.356,.330,.228,
Lindblom, Josh,458676,2021,.324,.662,.424,.338,.305,.600,.449,.443,.417,.295,
Wilson, Justin,458677,2021,.244,.435,.329,.191,.232,.414,.332,.323,.321,.183,
Lynn, Lance,458681,2021,.209,.338,.265,.129,.198,.322,.264,.256,.258,.124,
Tomlin, Josh,458708,2021,.327,.550,.344,.223,.297,.503,.377,.350,.316,.205,
McGee, Jake,459429,2021,.196,.330,.234,.134,.217,.380,.242,.271,.255,.163,
Clippard, Tyler,461325,2021,.232,.400,.324,.168,.263,.507,.315,.366,.355,.244,
Swarzak, Anthony,461872,2021,.370,.704,.393,.334,.326,.624,.458,.410,.350,.298,
Soria, Joakim,465657,2021,.269,.483,.327,.214,.245,.400,.344,.307,.306,.154,
Chacin, Jhoulys,468504,2021,.222,.406,.301,.184,.244,.392,.306,.318,.325,.148,
Carrasco, Carlos,471911,2021,.272,.502,.325,.230,.257,.452,.350,.331,.312,.196,
Abad, Fernando,472551,2021,.307,.453,.366,.146,.283,.405,.350,.327,.344,.122,
Garcia, Luis,472610,2021,.202,.298,.252,.096,.230,.377,.239,.282,.279,.147,
Anderson, Brett,474463,2021,.276,.439,.323,.163,.299,.473,.328,.363,.353,.173,
Luetge, Lucas,476595,2021,.238,.359,.282,.121,.243,.358,.279,.282,.287,.115,
Kershaw, Clayton,477132,2021,.224,.374,.260,.150,.222,.373,.274,.275,.261,.151,
Buchter, Ryan,488748,2021,.258,.581,.397,.323,.238,.515,.406,.388,.386,.276,
Miley, Wade,489119,2021,.265,.408,.317,.143,.253,.399,.317,.312,.311,.146,
Romo, Sergio,489265,2021,.238,.404,.305,.166,.218,.365,.305,.287,.289,.147,
Stammen, Craig,489334,2021,.235,.384,.268,.149,.241,.385,.279,.287,.275,.144,
Valdez, Cesar,491624,2021,.320,.526,.367,.206,.297,.456,.376,.345,.347,.159,
Ottavino, Adam,493603,2021,.239,.374,.351,.135,.209,.317,.324,.297,.332,.109,
Guerra, Deolis,500610,2021,.218,.358,.286,.140,.203,.346,.283,.273,.273,.144,
Quintana, Jose,500779,2021,.286,.483,.370,.197,.254,.436,.366,.341,.346,.182,
Pineda, Michael,501381,2021,.265,.453,.299,.188,.282,.475,.320,.338,.317,.193,
Alvarez, Jose,501625,2021,.217,.279,.271,.062,.250,.342,.245,.287,.304,.091,
Smith, Joe,501925,2021,.297,.462,.335,.165,.242,.389,.339,.291,.289,.147,
Minor, Mike,501985,2021,.252,.447,.302,.195,.245,.449,.321,.321,.297,.204,
Archer, Chris,502042,2021,.240,.413,.313,.173,.265,.527,.316,.367,.336,.262,
Gibson, Kyle,502043,2021,.234,.363,.305,.129,.241,.368,.293,.302,.314,.127,
Robertson, David,502085,2021,.239,.413,.300,.174,.253,.404,.308,.311,.313,.151,
Britton, Zack,502154,2021,.262,.400,.402,.138,.184,.277,.355,.291,.337,.093,
Cobb, Alex,502171,2021,.240,.336,.308,.096,.257,.360,.286,.307,.326,.103,
Espino, Paolo,502179,2021,.256,.460,.295,.204,.271,.483,.319,.337,.311,.212,
Boxberger, Brad,502202,2021,.192,.332,.282,.140,.203,.349,.274,.286,.297,.146,
Cahill, Trevor,502239,2021,.286,.422,.343,.136,.268,.440,.332,.335,.332,.172,
Santiago, Hector,502327,2021,.257,.390,.325,.133,.209,.288,.312,.259,.283,.079,
Miller, Justin,502522,2021,.278,.528,.337,.250,.311,.590,.369,.407,.375,.279,
Anderson, Chase,502624,2021,.268,.521,.344,.253,.261,.487,.366,.358,.342,.226,
Holland, Derek,502706,2021,.287,.455,.351,.168,.249,.401,.345,.313,.318,.152,
Peralta, Wily,503449,2021,.247,.415,.321,.168,.258,.423,.319,.335,.337,.164,
Dolis, Rafael,503569,2021,.232,.352,.378,.120,.222,.341,.327,.324,.371,.119,
Darvish, Yu,506433,2021,.222,.429,.279,.207,.209,.376,.301,.282,.270,.168,
Colome, Alex,517008,2021,.264,.411,.328,.147,.255,.447,.319,.335,.324,.192,
Alexander, Scott,518397,2021,.242,.371,.299,.129,.256,.357,.287,.293,.312,.101,
Brasier, Ryan,518489,2021,.267,.422,.320,.155,.244,.341,.319,.301,.312,.097,
Bumgarner, Madison,518516,2021,.242,.439,.300,.197,.245,.433,.315,.320,.307,.187,
Cishek, Steve,518553,2021,.238,.316,.351,.078,.214,.323,.299,.298,.337,.109,
Diekman, Jake,518617,2021,.211,.390,.324,.179,.219,.399,.312,.323,.334,.180,
Duffy, Danny,518633,2021,.226,.357,.294,.131,.246,.415,.284,.315,.312,.169,
Harvey, Matt,518774,2021,.299,.481,.347,.182,.289,.476,.355,.351,.340,.188,
Holland, Greg,518813,2021,.229,.407,.313,.178,.259,.494,.310,.359,.343,.235,
Jones, Nate,518858,2021,.219,.534,.333,.315,.258,.521,.349,.365,.368,.264,
Kelly, Merrill,518876,2021,.266,.433,.312,.167,.271,.432,.319,.324,.320,.161,
Kimbrel, Craig,518886,2021,.150,.272,.243,.122,.158,.268,.230,.236,.251,.110,
McFarland, T.J.,519008,2021,.237,.370,.285,.133,.250,.396,.282,.300,.297,.146,
Moore, Matt,519043,2021,.274,.509,.353,.235,.252,.441,.368,.338,.343,.189,
Nelson, Jimmy,519076,2021,.143,.184,.267,.041,.139,.199,.223,.227,.267,.060,
Pomeranz, Drew,519141,2021,.211,.333,.284,.122,.211,.353,.267,.275,.285,.142,
Pressly, Ryan,519151,2021,.208,.297,.248,.089,.200,.326,.238,.247,.242,.126,
Sale, Chris,519242,2021,.269,.419,.333,.150,.232,.347,.326,.287,.299,.115,
Smith, Will,519293,2021,.198,.403,.290,.205,.196,.353,.297,.284,.290,.156,
Strickland, Hunter,519326,2021,.213,.380,.289,.167,.214,.397,.292,.301,.292,.183,
Workman, Brandon,519443,2021,.313,.487,.419,.174,.314,.509,.389,.399,.420,.196,
Hendriks, Liam,521230,2021,.174,.318,.199,.144,.169,.320,.220,.219,.194,.151,
Kelly, Joe,523260,2021,.174,.286,.258,.112,.208,.315,.242,.279,.296,.106,
Perez, Martin,527048,2021,.296,.481,.356,.185,.280,.471,.358,.356,.345,.190,
Castellanos, Humberto,528748,2021,.277,.462,.332,.185,.243,.414,.347,.317,.311,.171,
Shoemaker, Matt,533167,2021,.297,.537,.363,.240,.287,.532,.380,.380,.360,.245,
Ramirez, Erasmo,541640,2021,.238,.406,.275,.168,.238,.412,.290,.295,.276,.174,
Cisnero, Jose,542585,2021,.226,.345,.325,.119,.228,.379,.300,.314,.329,.151,
Anderson, Tyler,542881,2021,.262,.452,.297,.190,.260,.429,.319,.317,.302,.169,
Andriese, Matt,542882,2021,.323,.488,.369,.165,.290,.461,.367,.346,.341,.171,
Armstrong, Shawn,542888,2021,.265,.531,.339,.266,.244,.484,.367,.345,.321,.239,
Bass, Anthony,542914,2021,.241,.425,.315,.184,.256,.441,.312,.330,.333,.185,
Bleier, Richard,542947,2021,.241,.335,.267,.094,.241,.344,.256,.270,.275,.102,
Brach, Brad,542960,2021,.254,.449,.353,.195,.233,.425,.343,.333,.342,.192,
Chatwood, Tyler,543022,2021,.217,.317,.352,.100,.230,.350,.308,.326,.364,.120,
Cole, Gerrit,543037,2021,.223,.372,.267,.149,.209,.369,.276,.273,.257,.160,
Conley, Adam,543045,2021,.212,.364,.289,.152,.219,.327,.284,.284,.299,.108,
Coulombe, Danny,543056,2021,.267,.443,.302,.176,.232,.399,.317,.287,.271,.166,
DeSclafani, Anthony,543101,2021,.225,.358,.274,.133,.242,.411,.276,.305,.292,.169,
Eovaldi, Nathan,543135,2021,.253,.402,.293,.149,.239,.366,.298,.283,.281,.127,
Gray, Sonny,543243,2021,.225,.385,.301,.160,.216,.326,.300,.279,.296,.109,
Hand, Brad,543272,2021,.235,.408,.317,.173,.250,.432,.310,.330,.335,.182,
Hendricks, Kyle,543294,2021,.278,.481,.327,.203,.277,.456,.345,.339,.329,.179,
Hudson, Daniel,543339,2021,.211,.405,.267,.194,.199,.399,.284,.281,.258,.200,
Jackson, Jay,543351,2021,.197,.382,.300,.185,.205,.406,.299,.317,.313,.201,
Lyles, Jordan,543475,2021,.278,.499,.334,.221,.275,.482,.354,.351,.334,.207,
May, Trevor,543507,2021,.227,.401,.297,.174,.192,.349,.297,.264,.265,.157,
McHugh, Collin,543521,2021,.207,.289,.251,.082,.202,.285,.236,.233,.248,.083,
Milone, Tommy,543548,2021,.323,.581,.354,.258,.295,.464,.393,.342,.328,.168,
Nolin, Sean,543594,2021,.302,.500,.382,.198,.237,.375,.379,.311,.329,.138,
Odorizzi, Jake,543606,2021,.243,.429,.304,.186,.254,.448,.316,.330,.317,.194,
Shaw, Bryan,543766,2021,.235,.388,.323,.153,.250,.399,.313,.326,.338,.149,
Familia, Jeurys,544727,2021,.248,.435,.328,.187,.229,.358,.330,.299,.316,.129,
Strasburg, Stephen,544931,2021,.200,.388,.326,.188,.249,.457,.308,.355,.369,.208,
Bauer, Trevor,545333,2021,.182,.374,.257,.192,.197,.385,.274,.285,.272,.188,
Head, Louis,545343,2021,.175,.250,.246,.075,.188,.338,.225,.265,.260,.150,
Poteet, Cody,547001,2021,.216,.457,.311,.241,.235,.467,.329,.342,.328,.232,
Lorenzen, Michael,547179,2021,.241,.343,.328,.102,.247,.341,.301,.307,.336,.094,
Kim, Kwang Hyun,547942,2021,.242,.373,.312,.131,.253,.418,.300,.323,.324,.165,
Ryu, Hyun Jin,547943,2021,.258,.435,.298,.177,.265,.440,.313,.323,.306,.175,
Chapman, Aroldis,547973,2021,.182,.359,.317,.177,.175,.363,.300,.302,.316,.188,
Raley, Brooks,548384,2021,.232,.362,.302,.130,.229,.381,.294,.301,.300,.152,
Stripling, Ross,548389,2021,.251,.489,.304,.238,.256,.468,.335,.340,.315,.212,
Kittredge, Andrew,552640,2021,.210,.332,.259,.122,.221,.355,.251,.270,.272,.133,
Garcia, Yimi,554340,2021,.230,.408,.287,.178,.252,.462,.290,.321,.309,.210,
Wheeler, Zack,554430,2021,.215,.321,.263,.106,.216,.319,.257,.259,.265,.103,
Matzek, Tyler,554431,2021,.182,.277,.299,.095,.192,.284,.261,.269,.313,.092,
Rodriguez, Joely,570257,2021,.294,.389,.343,.095,.246,.357,.320,.300,.313,.112,
Valdez, Phillips,570488,2021,.238,.354,.345,.116,.250,.387,.312,.331,.357,.137,
Urena, Jose,570632,2021,.292,.475,.362,.183,.285,.476,.360,.364,.358,.191,
Robles, Hansel,570663,2021,.228,.398,.337,.170,.233,.424,.321,.333,.342,.190,
Cessa, Luis,570666,2021,.229,.342,.284,.113,.251,.375,.277,.302,.312,.124,
Boyd, Matthew,571510,2021,.255,.397,.318,.142,.245,.410,.311,.314,.311,.165,
Brothers, Rex,571521,2021,.212,.399,.347,.187,.238,.436,.327,.352,.369,.198,
Corbin, Patrick,571578,2021,.286,.510,.340,.224,.282,.494,.362,.358,.343,.211,
Farmer, Buck,571656,2021,.278,.500,.386,.222,.270,.502,.380,.379,.380,.232,
Floro, Dylan,571670,2021,.217,.287,.289,.070,.236,.358,.255,.291,.306,.122,
Frankoff, Seth,571676,2021,.333,.583,.419,.250,.255,.495,.434,.375,.370,.240,
Givens, Mychal,571710,2021,.234,.413,.333,.179,.237,.391,.318,.319,.341,.154,
Hale, David,571735,2021,.283,.491,.345,.208,.293,.514,.355,.370,.354,.221,
Heaney, Andrew,571760,2021,.256,.487,.317,.231,.237,.432,.341,.318,.303,.194,
Hutchison, Drew,571800,2021,.260,.338,.341,.078,.288,.403,.305,.365,.386,.115,
Krol, Ian,571871,2021,.303,.474,.360,.171,.261,.377,.358,.315,.329,.116,
Law, Derek,571882,2021,.276,.466,.358,.190,.267,.446,.353,.347,.353,.179,
Loup, Aaron,571901,2021,.192,.238,.261,.046,.227,.302,.229,.274,.298,.075,
Matz, Steven,571927,2021,.265,.405,.320,.140,.253,.396,.315,.310,.309,.143,
Mikolas, Miles,571945,2021,.253,.406,.301,.153,.264,.430,.307,.326,.316,.166,
Miller, Shelby,571946,2021,.327,.571,.452,.244,.275,.461,.433,.382,.411,.186,
Milner, Hoby,571948,2021,.323,.613,.354,.290,.306,.568,.408,.385,.341,.263,
Richards, Garrett,572070,2021,.289,.468,.361,.179,.285,.465,.356,.357,.359,.180,
Selman, Sam,572125,2021,.222,.356,.336,.134,.245,.401,.305,.341,.363,.156,
Smith, Burch,572143,2021,.280,.440,.324,.160,.282,.444,.328,.332,.326,.163,
Tepera, Ryan,572193,2021,.164,.272,.242,.108,.171,.280,.230,.249,.258,.109,
Greene, Shane,572888,2021,.263,.505,.381,.242,.208,.375,.381,.319,.335,.167,
Johnson, Pierce,572955,2021,.220,.369,.307,.149,.206,.336,.292,.285,.299,.130,
Keuchel, Dallas,572971,2021,.290,.472,.354,.182,.302,.494,.356,.372,.366,.191,
Mantiply, Joe,573009,2021,.292,.448,.356,.156,.254,.378,.338,.307,.329,.125,
Rogers, Taylor,573124,2021,.247,.370,.277,.123,.212,.321,.275,.246,.251,.109,
Stroman, Marcus,573186,2021,.242,.362,.290,.120,.263,.419,.284,.318,.313,.156,
Thielbar, Caleb,573204,2021,.232,.401,.293,.169,.222,.418,.300,.304,.288,.196,
Minaya, Juan,573668,2021,.189,.329,.293,.140,.196,.331,.280,.287,.303,.135,
Kikuchi, Yusei,579328,2021,.243,.432,.318,.189,.261,.463,.325,.347,.336,.202,
Adam, Jason,592094,2021,.244,.415,.380,.171,.170,.303,.354,.290,.319,.133,
Bedrosian, Cam,592135,2021,.278,.485,.379,.207,.265,.477,.371,.373,.373,.212,
Biddle, Jesse,592145,2021,.263,.368,.392,.105,.191,.310,.345,.332,.362,.120,
Brice, Austin,592169,2021,.264,.453,.391,.189,.229,.427,.371,.351,.362,.198,
Claudio, Alex,592222,2021,.278,.489,.351,.211,.263,.427,.358,.332,.337,.164,
Crichton, Stefan,592233,2021,.333,.495,.419,.162,.259,.391,.386,.347,.369,.132,
De Leon, Jose,592254,2021,.289,.513,.385,.224,.233,.439,.381,.343,.344,.206,
Emanuel, Kent,592288,2021,.190,.381,.250,.191,.210,.371,.273,.280,.269,.160,
Foltynewicz, Mike,592314,2021,.260,.527,.314,.267,.266,.491,.355,.350,.324,.225,
Gausman, Kevin,592332,2021,.210,.345,.263,.135,.231,.382,.265,.290,.284,.151,
Gonzalez, Chi Chi,592346,2021,.311,.538,.359,.227,.314,.542,.381,.387,.366,.228,
Gray, Jon,592351,2021,.245,.420,.320,.175,.236,.380,.320,.306,.314,.144,
Hembree, Heath,592390,2021,.207,.419,.292,.212,.188,.349,.306,.275,.275,.161,
Jackson, Luke,592426,2021,.198,.317,.291,.119,.230,.388,.270,.311,.322,.158,
Kolarek, Adam,592473,2021,.341,.523,.412,.182,.287,.429,.407,.357,.372,.142,
Osich, Josh,592612,2021,.273,.509,.333,.236,.235,.337,.359,.285,.299,.102,
Plutko, Adam,592644,2021,.295,.614,.373,.319,.281,.550,.408,.384,.363,.269,
Ray, Robbie,592662,2021,.210,.401,.266,.191,.219,.398,.287,.293,.276,.180,
Sampson, Adrian,592716,2021,.231,.462,.303,.231,.242,.469,.329,.339,.316,.227,
Sanchez, Aaron,592717,2021,.234,.328,.327,.094,.233,.344,.296,.303,.326,.111,
Shreve, Chasen,592741,2021,.212,.374,.306,.162,.212,.366,.298,.302,.312,.154,
Smith, Caleb,592761,2021,.217,.401,.324,.184,.216,.384,.317,.313,.325,.168,
Smyly, Drew,592767,2021,.269,.480,.322,.211,.268,.472,.342,.343,.327,.204,
Stanek, Ryne,592773,2021,.186,.312,.303,.126,.207,.393,.276,.312,.321,.186,
Taillon, Jameson,592791,2021,.238,.422,.299,.184,.230,.402,.309,.305,.295,.171,
Velasquez, Vince,592826,2021,.251,.525,.345,.274,.244,.471,.368,.349,.341,.227,
Wade, Konner,592831,2021,.390,.610,.438,.220,.315,.489,.442,.366,.369,.173,
Walker, Taijuan,592836,2021,.225,.400,.294,.175,.246,.443,.301,.328,.314,.197,
Wick, Rowan,592858,2021,.205,.253,.320,.048,.209,.320,.271,.298,.328,.111,
Williams, Taylor,592865,2021,.273,.409,.400,.136,.257,.397,.359,.352,.388,.139,
Williams, Trevor,592866,2021,.287,.462,.343,.175,.263,.418,.348,.325,.325,.156,
Feliz, Michael,593140,2021,.313,.506,.367,.193,.298,.541,.374,.381,.353,.243,
Rodriguez, Richard,593144,2021,.209,.372,.247,.163,.247,.475,.264,.321,.283,.228,
German, Domingo,593334,2021,.234,.426,.288,.192,.239,.422,.306,.311,.294,.183,
Martinez, Carlos,593372,2021,.246,.390,.342,.144,.279,.470,.321,.369,.374,.191,
Montas, Frankie,593423,2021,.232,.372,.293,.140,.237,.404,.290,.307,.300,.167,
Neris, Hector,593576,2021,.202,.382,.294,.180,.185,.317,.292,.267,.282,.132,
Tapia, Domingo,593619,2021,.208,.275,.296,.067,.253,.353,.255,.303,.337,.099,
Suero, Wander,593833,2021,.266,.521,.337,.255,.267,.493,.361,.355,.338,.225,
Rodriguez, Eduardo,593958,2021,.277,.437,.327,.160,.233,.367,.330,.288,.289,.134,
Peralta, Wandy,593974,2021,.251,.385,.324,.134,.244,.383,.309,.312,.322,.138,
Guduan, Reymin,594056,2021,.345,.473,.369,.128,.333,.509,.355,.410,.396,.176,
Gustave, Jandel,594311,2021,.224,.328,.304,.104,.285,.423,.270,.337,.363,.139,
Mayers, Mike,594577,2021,.250,.430,.317,.180,.220,.391,.323,.300,.292,.171,
Dayton, Grant,594795,2021,.283,.509,.344,.226,.250,.420,.351,.320,.335,.170,
deGrom, Jacob,594798,2021,.129,.242,.160,.113,.146,.249,.174,.190,.181,.103,
Gonzales, Marco,594835,2021,.234,.465,.294,.231,.257,.485,.321,.342,.317,.228,
Ponce de Leon, Daniel,594965,2021,.252,.465,.373,.213,.234,.427,.363,.353,.371,.192,
Ryan, Kyle,594986,2021,.315,.574,.371,.259,.314,.474,.393,.368,.382,.159,
Sadler, Casey,594987,2021,.143,.195,.207,.052,.198,.274,.185,.241,.258,.076,
Treinen, Blake,595014,2021,.179,.253,.259,.074,.189,.261,.233,.243,.268,.072,
Eickhoff, Jerad,595191,2021,.333,.722,.413,.389,.347,.660,.462,.453,.427,.313,
Okert, Steven,595345,2021,.183,.358,.289,.175,.173,.341,.281,.274,.283,.168,
Sherriff, Ryan,595411,2021,.241,.293,.375,.052,.210,.274,.313,.309,.356,.064,
Winkler, Dan,595465,2021,.213,.373,.374,.160,.223,.334,.336,.333,.384,.111,
Curtiss, John,595928,2021,.244,.407,.294,.163,.249,.397,.303,.304,.301,.148,
Ellis, Chris,595939,2021,.200,.324,.306,.124,.264,.444,.284,.352,.361,.180,
Junis, Jakob,596001,2021,.279,.461,.327,.182,.282,.508,.336,.356,.331,.225,
Maples, Dillon,596027,2021,.144,.231,.345,.087,.186,.298,.285,.322,.378,.112,
Morimando, Shawn,596049,2021,.375,.646,.426,.271,.264,.449,.445,.333,.327,.184,
Norris, Daniel,596057,2021,.256,.428,.351,.172,.234,.386,.340,.317,.333,.152,
Peters, Dillon,596071,2021,.245,.415,.316,.170,.250,.416,.316,.322,.321,.166,
Stephenson, Robert,596112,2021,.241,.408,.315,.167,.228,.392,.313,.306,.307,.164,
Weaver, Luke,596133,2021,.233,.470,.287,.237,.254,.454,.317,.329,.313,.201,
Gomber, Austin,596295,2021,.232,.420,.299,.188,.239,.411,.309,.311,.307,.173,
Barnes, Matt,598264,2021,.206,.357,.284,.151,.177,.325,.278,.256,.258,.148,
Ramirez, Nick,598286,2021,.277,.410,.330,.133,.257,.378,.312,.302,.318,.121,
Ramirez, Noe,598287,2021,.178,.287,.259,.109,.193,.309,.246,.266,.277,.116,
Machado, Andres,600921,2021,.226,.376,.325,.150,.224,.352,.307,.305,.327,.128,
Pivetta, Nick,601713,2021,.234,.417,.313,.183,.220,.386,.316,.301,.302,.166,
Barlow, Scott,605130,2021,.223,.328,.297,.105,.215,.354,.275,.283,.291,.139,
Bassitt, Chris,605135,2021,.218,.348,.278,.130,.227,.363,.274,.287,.288,.135,
Benjamin, Wes,605138,2021,.309,.543,.411,.234,.253,.458,.406,.367,.371,.205,
Bradley, Archie,605151,2021,.258,.404,.339,.146,.233,.366,.324,.306,.320,.133,
Brebbia, John,605154,2021,.316,.557,.356,.241,.244,.408,.379,.293,.294,.163,
Bundy, Dylan,605164,2021,.253,.491,.325,.238,.247,.455,.348,.335,.323,.208,
Chafin, Andrew,605177,2021,.186,.273,.248,.087,.207,.334,.231,.269,.271,.127,
Cotton, Jharel,605194,2021,.237,.331,.328,.094,.186,.317,.296,.272,.285,.132,
Crick, Kyle,605195,2021,.175,.200,.355,.025,.222,.328,.281,.338,.394,.106,
Davies, Zach,605200,2021,.281,.485,.362,.204,.294,.487,.366,.376,.380,.193,
Fulmer, Michael,605242,2021,.256,.378,.316,.122,.243,.388,.301,.302,.306,.145,
Hess, David,605276,2021,.364,.784,.431,.420,.307,.624,.491,.430,.390,.318,
Holmes, Clay,605280,2021,.206,.284,.295,.078,.199,.293,.262,.264,.289,.094,
Houser, Adrian,605288,2021,.228,.340,.319,.112,.241,.359,.297,.312,.334,.119,
Lopez, Jorge,605347,2021,.293,.485,.375,.192,.275,.450,.369,.353,.361,.174,
Marshall, Evan,605359,2021,.277,.515,.327,.238,.225,.365,.351,.289,.289,.140,
Morgan, Adam,605388,2021,.237,.505,.324,.268,.205,.392,.348,.307,.302,.187,
Musgrove, Joe,605397,2021,.213,.364,.286,.151,.236,.388,.284,.305,.309,.151,
Nola, Aaron,605400,2021,.237,.405,.284,.168,.223,.378,.297,.283,.273,.155,
Rios, Yacksel,605441,2021,.189,.368,.316,.179,.219,.433,.303,.340,.341,.214,
Romano, Jordan,605447,2021,.181,.310,.265,.129,.173,.296,.257,.251,.258,.123,
Ross, Joe,605452,2021,.237,.402,.304,.165,.247,.415,.305,.316,.316,.169,
Snell, Blake,605483,2021,.214,.375,.315,.161,.233,.431,.305,.336,.334,.198,
Springs, Jeffrey,605488,2021,.216,.444,.274,.228,.209,.379,.302,.282,.272,.170,
Thompson, Zach,605507,2021,.227,.374,.298,.147,.227,.365,.293,.295,.302,.139,
Turnbull, Spencer,605513,2021,.203,.286,.269,.083,.206,.322,.250,.269,.276,.116,
Warren, Art,605521,2021,.153,.236,.244,.083,.139,.200,.218,.201,.235,.061,
Wendelken, J.B.,605525,2021,.256,.372,.340,.116,.264,.416,.310,.332,.348,.152,
Wisler, Matt,605538,2021,.228,.400,.272,.172,.201,.323,.284,.252,.250,.122,
Woodruff, Brandon,605540,2021,.200,.317,.254,.117,.227,.353,.252,.280,.281,.127,
Wright Jr., Mike,605541,2021,.254,.373,.370,.119,.257,.409,.333,.362,.381,.152,
Gallegos, Giovanny,606149,2021,.183,.302,.248,.119,.206,.347,.240,.272,.273,.140,
Montero, Rafael,606160,2021,.296,.422,.360,.126,.231,.329,.340,.290,.309,.098,
Payamps, Joel,606303,2021,.232,.379,.288,.147,.216,.337,.286,.266,.273,.121,
Garcia, Jarlin,606424,2021,.196,.380,.253,.184,.222,.367,.269,.281,.282,.146,
Barnes, Jacob,606930,2021,.270,.504,.336,.234,.229,.437,.359,.319,.302,.208,
Rodon, Carlos,607074,2021,.189,.306,.253,.117,.189,.316,.247,.254,.256,.127,
Faria, Jake,607188,2021,.285,.489,.351,.204,.233,.418,.359,.315,.308,.185,
Glasnow, Tyler,607192,2021,.176,.319,.241,.143,.189,.337,.246,.260,.253,.149,
Fedde, Erick,607200,2021,.275,.466,.332,.191,.264,.457,.340,.337,.329,.194,
Romano, Sal,607219,2021,.292,.491,.364,.199,.294,.524,.362,.376,.366,.230,
Gsellman, Robert,607229,2021,.248,.385,.303,.137,.280,.427,.302,.334,.335,.147,
Gant, John,607231,2021,.233,.368,.350,.135,.258,.395,.321,.345,.375,.137,
Garrett, Amir,607237,2021,.249,.449,.349,.200,.233,.407,.340,.321,.337,.174,
Patton, Spencer,607359,2021,.229,.357,.297,.128,.210,.327,.287,.270,.279,.117,
Mazza, Chris,607391,2021,.257,.406,.313,.149,.243,.415,.306,.309,.302,.172,
Banda, Anthony,607455,2021,.287,.478,.353,.191,.231,.364,.353,.292,.305,.133,
Barraclough, Kyle,607457,2021,.245,.510,.367,.265,.191,.355,.373,.315,.330,.164,
Bummer, Aaron,607481,2021,.202,.250,.310,.048,.180,.235,.257,.249,.294,.055,
Freeland, Kyle,607536,2021,.284,.471,.340,.187,.247,.415,.349,.314,.308,.168,
Harper, Ryne,607560,2021,.214,.389,.297,.175,.226,.352,.297,.292,.308,.127,
Howard, Sam,607572,2021,.211,.379,.347,.168,.196,.336,.325,.315,.344,.140,
Lugo, Seth,607625,2021,.237,.399,.313,.162,.249,.404,.305,.315,.324,.155,
Means, John,607644,2021,.224,.427,.263,.203,.242,.441,.294,.310,.281,.199,
Estevez, Carlos,608032,2021,.293,.455,.348,.162,.258,.419,.345,.322,.320,.161,
De Jong, Chase,608328,2021,.280,.589,.352,.309,.275,.561,.391,.382,.349,.286,
Fried, Max,608331,2021,.227,.353,.280,.126,.234,.364,.278,.288,.290,.130,
Fulmer, Carson,608334,2021,.265,.429,.362,.164,.243,.430,.347,.341,.347,.187,
Funkhouser, Kyle,608335,2021,.229,.340,.332,.111,.238,.354,.303,.316,.344,.115,
Giolito, Lucas,608337,2021,.219,.394,.276,.175,.221,.362,.288,.280,.278,.141,
Irvin, Cole,608344,2021,.275,.424,.320,.149,.282,.446,.323,.339,.331,.164,
Knebel, Corey,608349,2021,.176,.275,.248,.099,.203,.322,.229,.265,.277,.119,
Sims, Lucas,608371,2021,.200,.371,.287,.171,.168,.297,.281,.245,.260,.130,
Wacha, Michael,608379,2021,.270,.467,.316,.197,.283,.499,.334,.355,.330,.216,
Marquez, German,608566,2021,.242,.389,.308,.147,.251,.392,.303,.311,.319,.141,
Chargois, JT,608638,2021,.202,.346,.296,.144,.225,.365,.279,.299,.318,.139,
Duffey, Tyler,608648,2021,.216,.311,.307,.095,.228,.358,.278,.300,.319,.130,
Enns, Dietrich,608650,2021,.207,.305,.261,.098,.209,.296,.250,.249,.263,.087,
Farrell, Luke,608652,2021,.280,.480,.363,.200,.284,.493,.363,.371,.367,.209,
Graveman, Kendall,608665,2021,.180,.253,.284,.073,.228,.330,.248,.296,.325,.102,
Leone, Dominic,608678,2021,.195,.268,.274,.073,.212,.339,.247,.285,.297,.128,
Steckenrider, Drew,608716,2021,.214,.333,.273,.119,.229,.361,.264,.284,.289,.132,
Stratton, Chris,608717,2021,.233,.367,.309,.134,.228,.377,.294,.300,.306,.149,
Suter, Brent,608718,2021,.252,.402,.310,.150,.242,.382,.307,.298,.303,.141,
Voth, Austin,608723,2021,.266,.467,.347,.201,.287,.504,.345,.372,.372,.217,
Castro, Miguel,612434,2021,.189,.299,.320,.110,.213,.351,.286,.315,.341,.137,
Adams, Austin,613534,2021,.159,.244,.361,.085,.165,.263,.297,.311,.374,.098,
Ruiz, Jose,614179,2021,.210,.366,.280,.156,.244,.419,.281,.319,.315,.175,
Quantrill, Cal,615698,2021,.234,.373,.300,.139,.245,.391,.296,.310,.314,.145,
Sawamura, Hirokazu,617228,2021,.227,.429,.339,.202,.221,.401,.324,.317,.333,.180,
Reyes, Alex,621052,2021,.176,.294,.315,.118,.185,.304,.281,.288,.323,.120,
Garza, Justin,621057,2021,.250,.435,.352,.185,.285,.522,.344,.391,.387,.238,
Rucker, Michael,621074,2021,.286,.482,.357,.196,.270,.500,.360,.361,.344,.230,
